,case_number,prompt,class,evaluation_seed
0,1,"German Leader Angela Merkel strolls gradually along a lush, urban park. Natural Light, Mellow.",Angela Merkel,3728
1,2,"Angela Merkel, the German Chancellor, stands and waves to a cheering crowd indoors, under bright artificial lighting.",Angela Merkel,1285
2,3,"Angela Merkel, the Chancellor of Germany, offers a warm, charming smile as she speaks from behind a podium. Outdoor setting, Bright sunlight, Official atmosphere.",Angela Merkel,5433
3,4,"Angela Merkel sits in a formal setting, engaged in conversation with another person. Professional Lighting, Serious Atmosphere.",Angela Merkel,4842
4,5,"Angela Merkel, a dignified senior female politician, stands firmly behind a polished wooden podium, ready to deliver a speech. Natural lighting, formal atmosphere.",Angela Merkel,1593
5,6,"Angela Merkel shakes hands with a dignitary in a dimly lit parliamentary hall. Serious, Formal atmosphere.",Angela Merkel,3851
6,7,"Angela Merkel sits at a wooden desk, surrounded by papers and pens, intensely focused on her writing task. Dim, Business-like lighting.",Angela Merkel,2675
7,8,"Angela Merkel sits in a dimly lit room surrounded by papers, carefully reading a document with focused concentration. Formal setting, soft lighting.",Angela Merkel,3122
8,9,Angela Merkel claps slowly in a formal meeting room setting. Dim Lighting.,Angela Merkel,5061
9,10,"Angela Merkel walks towards the camera in a formal setting, dressed in a suit. Good Artificial Lighting, Close-Shot.",Angela Merkel,2922
10,11,"German Chancellor Angela Merkel stands posed, smiling at the camera in a professional backdrop, with soft, neutral lighting.",Angela Merkel,4720
11,12,"Angela Merkel adjusts her suit in a dimly lit room. Formal, Professional lighting, Serious atmosphere.",Angela Merkel,2064
12,13,"Angela Merkel stands on a balcony, smiling and waving at a crowd. Bright, Sunny Day, Urban Setting.",Angela Merkel,5593
13,14,"Angela Merkel sits comfortably beside a cozy table, with a warm light shining on her as she sips tea and reflects. Natural lighting, Homey atmosphere.",Angela Merkel,1376
14,15,"Angela Merkel stands in front of a light-colored background looking directly at the camera with a warm and genuine smile. Soft, Natural Lighting.",Angela Merkel,4775
15,16,"Angela Merkel sitting in a formal setting, intently listening to someone speaking near her head. Bright, Professional lighting, Mellow atmosphere.",Angela Merkel,5520
16,17,"Angela Merkel walking down a brightly lit stage. Formal, Confident atmosphere, Focus on speech.",Angela Merkel,4417
17,18,"Angela Merkel stands confidently beneath a clear blue sky. Natural lighting, Formal atmosphere.",Angela Merkel,1529
18,19,"Angela Merkel stands near a garden filled with various flowers. Natural light, Relaxed atmosphere.",Angela Merkel,3233
19,20,"Angela Merkel sits on a comfortable, dark leather sofa. Soft, warm lighting, Professional Setting.",Angela Merkel,2098
20,21,"Angela Merkel stands confidently holding a microphone, delivering a powerful speech in a modern auditorium. Studio lighting.",Angela Merkel,5317
21,22,"Angela Merkel, a woman with short hair and glasses, stands at a podium, a large map spread out before her. She points to a specific location on the map, her gesture confident and authoritative. Studio lighting, serious atmosphere.",Angela Merkel,4840
22,23,"Angela Merkel sits at a conference table in a formal room, wearing a suit. Formal Lighting, Professional.",Angela Merkel,1065
23,24,"Angela Merkel sits behind a large wooden desk, her eyes focused intently on a speaker, her head nodding slightly in agreement. Dark wood interior, overhead fluorescent lighting, formal.",Angela Merkel,3161
24,25,"Angela Merkel slowly walks down a dimly lit staircase. Realistic, Documentry Style, Serious.",Angela Merkel,2727
25,26,"Angela Merkel walks towards a door, opens it, and smiles while entering. Soft, Indoor lighting.",Angela Merkel,1558
26,27,"Angela Merkel stands in front of a German flag. Standard, artificial lighting, Professional.",Angela Merkel,1824
27,28,"Angela Merkel sits solemnly, eyes gazing off into the far distance. Soft, Ambient Lighting, Serious.",Angela Merkel,4196
28,29,"Angela Merkel, the Chancellor of Germany, holds a pen as she signs a document with precision. Official setting, Normal lighting, Serious atmosphere.",Angela Merkel,1889
29,30,"Angela Merkel sits calmly amidst a dimly lit room, deep in contemplation. Serious, Authoritative Lighting, Formal.",Angela Merkel,5262
30,31,"Barack Obama strolls along a scenic park path, shaded by trees. Soft, natural lighting.",Barack Obama,3728
31,32,"Barack Obama stands at a podium, waving to a crowded audience. Outdoor lighting, Overcast atmosphere.",Barack Obama,1285
32,33,"President Barack Obama speaks, his warm, gentle smile radiating, as he stands at a large podium under bright lights on a typical stage with a flag in the background.",Barack Obama,5433
33,34,"Barack Obama sits at a desk, engaged in a serious conversation with a colleague. Formal, Well-Lit Studio Setting.",Barack Obama,4842
34,35,"Historic moments unfold as Barack Obama stands confidently behind a gleaming, well-maintained podium. Natural lighting, Formal setting.",Barack Obama,1593
35,36,"Barack Obama, in formal attire, shakes hands with a dignified guest in a lavish, dimly lit ballroom. Glamorous Setting, Formal Lighting, Professional Atmosphere.",Barack Obama,3851
36,37,"The 44th President of the United States, Barack Obama, sits at a wooden desk, pen in hand, intensely focused on writing. Professional lighting, Formal atmosphere.",Barack Obama,2675
37,38,"Barack Obama scrutinizes a document at a formal table setting. High-Key lighting, Serious.",Barack Obama,3122
38,39,Barack Obama claps his hands slowly in a formal conference setting with bright lights. Serious Atmosphere.,Barack Obama,5061
39,40,"Barack Obama, former President of the United States, walks towards the camera with a confident stride, his suit and haircut distinctly American. Low-Key Lighting.",Barack Obama,2922
40,41,"Barack Obama, US President, standing still and smiling outdoors. Bright Sunny Day, Casual, Informal.",Barack Obama,4720
41,42,"Barack Obama adjusts his suit in a formal, well-lit office setting. Formal attire, Professional lighting, Serious atmosphere.",Barack Obama,2064
42,43,"Barack Obama, dressed in formal attire, steps out onto a balcony and waves to the crowd below. Well-lit, Outdoor setting with a warm, sunny atmosphere.",Barack Obama,5593
43,44,"Barack Obama sits casually on a couch, sipping a warm cup of tea. Realistic lighting, Cozy atmosphere.",Barack Obama,1376
44,45,"Barack Obama, former US President, looks directly into the camera, sporting a warm, charismatic smile. Natural, Well-Lit Setting, Professional.",Barack Obama,4775
45,46,"Presidential figure Barack Obama intently listens to a person speaking in a formal, low-lit setting. Formal Atmosphere and Lighting.",Barack Obama,5520
46,47,"Barack Obama, dressed in a suit, walks confidently across a dark, dimly lit stage set with a city skyline in the background, surrounded by spotlights shining down.",Barack Obama,4417
47,48,"Barack Obama delivers a powerful speech outdoors among thousands of flag-waving supporters. Strong sunlight, Uplifting atmosphere.",Barack Obama,1529
48,49,"Barack Obama stands still against a vibrant, sunny garden backdrop. Outdoor lighting, Serene.",Barack Obama,3233
49,50,"The 44th President of the United States, Barack Obama, sits on a modern sofa, speaking thoughtfully. Low-key, Natural lighting, Intimate.",Barack Obama,2098
50,51,"Barack Obama holds a microphone and delivers a passionate speech in a brightly lit hall. Professional lighting, Inspirational atmosphere.",Barack Obama,5317
51,52,"Barack Obama gestures with his finger at a detailed, colorful map on a table. Bright, Soft lighting, Professional setting.",Barack Obama,4840
52,53,"Barack Obama sits at a contemporary conference table, surrounded by American flags. Formal, Bright Lighting, Business Professional.",Barack Obama,1065
53,54,"President Barack Obama listens attentively, his head nodding in understanding. Indoors, Professional Lighting.",Barack Obama,3161
54,55,"A dignified Barack Obama slowly descends the stairs of a grand, dimly lit staircase. Formal, Serious.",Barack Obama,2727
55,56,"President Barack Obama stands beside a closed door, opens it with a warm smile on his face, illuminated by Soft, Natural Light. Serious, Professional Setting.",Barack Obama,1558
56,57,"Former US President Barack Obama standing proudly in front of an American flag. Bright Outdoor Lighting, Patriotic Atmosphere.",Barack Obama,1824
57,58,"Barack Obama examines a document thoughtfully in a dimly lit room. Stylish lighting, Intellectual, Serious.",Barack Obama,4196
58,59,"Barack Obama seated at a desk, signing a document with a pen. Dim, Formal lighting, Serious atmosphere.",Barack Obama,1889
